Designator,Mid X,Mid Y,Rotation,Layer
C1,5.715,-16.124,270.0,top
C2,27.94,-14.732,180.0,top
C3,33.782,-21.844,0.0,top
J1,5.08,-7.62,270.0,top
J2,15.2,-7.62,270.0,top
J3,25.32,-7.62,270.0,top
J4,35.44,-7.62,270.0,top
J6,1.27,-21.23,270.0,bottom
R1,7.015,-16.19,270.0,top
R10,39.624,-16.51,90.0,top
R11,32.258,-1.778,180.0,top
R12,28.702,-20.828,270.0,top
R13,38.354,-16.51,90.0,top
R14,8.128,-1.778,0.0,top
R15,38.608,-1.778,0.0,top
R16,28.448,-1.778,0.0,top
R17,18.288,-1.778,0.0,top
R2,39.624,-20.828,270.0,top
R3,9.652,-14.986,0.0,top
R4,27.432,-16.51,90.0,top
R5,11.938,-14.986,0.0,top
R6,38.354,-20.828,270.0,top
R7,28.702,-16.51,90.0,top
R8,27.432,-20.828,270.0,top
R9,21.844,-1.778,0.0,top
U1,2.8725,-16.444,180.0,top
U2,33.528,-18.288,180.0,top
U3,21.59,-18.542,90.0,top
