Designator,Mid X,Mid Y,Rotation,Layer
C1,15.494,-10.16,180.0,top
C2,15.494,-7.62,0.0,top
C3,15.494,-2.54,0.0,top
C4,5.334,-2.54,180.0,top
C5,5.334,-7.62,180.0,top
C6,15.494,-5.08,0.0,top
C7,5.334,-5.08,0.0,top
DAC1,12.319,-12.7,180.0,top
J1,1.524,-1.27,180.0,bottom
J2,19.304,-1.27,180.0,bottom
R1,5.334,-10.414,180.0,top
R10,7.874,-12.954,0.0,top
R11,5.334,-3.81,0.0,top
R12,5.334,-1.27,0.0,top
R13,5.334,-14.224,180.0,top
R14,7.874,-14.224,0.0,top
R15,5.334,-6.35,0.0,top
R16,5.334,-8.89,0.0,top
R2,7.874,-10.414,0.0,top
R3,15.494,-6.35,180.0,top
R4,15.494,-8.89,180.0,top
R5,5.334,-11.684,180.0,top
R6,7.874,-11.684,0.0,top
R7,15.494,-3.81,180.0,top
R8,15.494,-1.27,180.0,top
R9,5.334,-12.954,180.0,top
U1,10.414,-5.08,180.0,top
