Designator,Mid X,Mid Y,Rotation,Layer
C1_2,12.7,-4.191,270.0,top
C1,13.97,-26.67,180.0,top
C2_2,3.302,-4.064,180.0,top
C2,13.97,-24.13,0.0,top
C3_2,3.302,-9.144,180.0,top
C3,13.97,-19.05,0.0,top
C4,3.81,-19.05,180.0,top
C5,3.81,-24.13,180.0,top
C6,13.97,-21.59,0.0,top
C7,3.81,-21.59,0.0,top
DAC1,10.795,-29.21,180.0,top
J1,0.0,-17.78,180.0,bottom
J2,17.78,-17.78,180.0,bottom
J8,0.0,0.0,180.0,bottom
J9,17.78,0.0,180.0,bottom
R1_2,14.732,-4.191,270.0,top
R1,3.81,-26.924,180.0,top
R10_2,3.302,-10.16,0.0,top
R10,6.35,-29.464,0.0,top
R11_2,3.302,-11.176,0.0,top
R11,3.81,-20.32,0.0,top
R12_2,13.462,-7.112,0.0,top
R12,3.81,-17.78,0.0,top
R13_2,3.302,-12.192,180.0,top
R13,3.81,-30.734,180.0,top
R14,6.35,-30.734,0.0,top
R15,3.81,-22.86,0.0,top
R16,3.81,-25.4,0.0,top
R18,3.302,-5.08,0.0,top
R19,3.302,-13.208,0.0,top
R2_2,3.302,-8.128,0.0,top
R2,6.35,-26.924,0.0,top
R20,13.462,-6.096,180.0,top
R21,13.462,-13.208,180.0,top
R3_2,3.302,-7.112,0.0,top
R3,13.97,-22.86,180.0,top
R4_2,13.462,-10.16,180.0,top
R4,13.97,-25.4,180.0,top
R5_2,13.462,-11.176,180.0,top
R5,3.81,-28.194,180.0,top
R6_2,3.302,-6.096,180.0,top
R6,6.35,-28.194,0.0,top
R7_2,13.462,-12.192,0.0,top
R7,13.97,-20.32,180.0,top
R8_2,13.462,-9.144,180.0,top
R8,13.97,-17.78,180.0,top
R9_2,13.462,-8.128,180.0,top
R9,3.81,-29.464,180.0,top
U1_2,13.716,-1.143,90.0,top
U1,8.89,-21.59,180.0,top
U2,8.382,-11.049,0.0,top
U3,8.128,-3.556,0.0,top
